dataset,seed,policy,budget,accuracy,cross_entropy,predictor_val_acc_random_masks,predictor_val_loss_random_masks,n_train,n_val,n_test,n_features,n_classes
fashion_mnist_selected,7,random,16,0.69499,0.8788045825195313,0.5751,1.1875017333984377,50000,10000,10000,20,10
fashion_mnist_selected,7,global_mi,16,0.6901,0.8745277954101562,0.5751,1.1875017333984377,50000,10000,10000,20,10
fashion_mnist_selected,7,myopic_q,16,0.6942,0.8665229125976562,0.5751,1.1875017333984377,50000,10000,10000,20,10
fashion_mnist_selected,7,learned_briga,16,0.7069,0.8365282836914063,0.5751,1.1875017333984377,50000,10000,10000,20,10
fashion_mnist_selected,7,random,20,0.7205000000000001,0.8314112915039062,0.5751,1.1875017333984377,50000,10000,10000,20,10
fashion_mnist_selected,7,global_mi,20,0.7205,0.8314112915039062,0.5751,1.1875017333984377,50000,10000,10000,20,10
fashion_mnist_selected,7,myopic_q,20,0.7205,0.8314112915039062,0.5751,1.1875017333984377,50000,10000,10000,20,10
fashion_mnist_selected,7,learned_briga,20,0.7205,0.8314112915039062,0.5751,1.1875017333984377,50000,10000,10000,20,10
fashion_mnist_selected,9,empty_mask,0,0.1,2.3215806640625,0.5721,1.1812298583984375,50000,10000,10000,20,10
fashion_mnist_selected,9,full_features,20,0.7173,0.8290994018554687,0.5721,1.1812298583984375,50000,10000,10000,20,10
fashion_mnist_selected,9,random,1,0.18446,2.0940396606445315,0.5721,1.1812298583984375,50000,10000,10000,20,10
fashion_mnist_selected,9,global_mi,1,0.1796,1.963656201171875,0.5721,1.1812298583984375,50000,10000,10000,20,10
fashion_mnist_selected,9,myopic_q,1,0.1796,1.963656201171875,0.5721,1.1812298583984375,50000,10000,10000,20,10
fashion_mnist_selected,9,learned_briga,1,0.1796,1.963656201171875,0.5721,1.1812298583984375,50000,10000,10000,20,10
fashion_mnist_selected,9,random,2,0.27377,1.8973281445312504,0.5721,1.1812298583984375,50000,10000,10000,20,10
fashion_mnist_selected,9,global_mi,2,0.2769,1.757990673828125,0.5721,1.1812298583984375,50000,10000,10000,20,10
fashion_mnist_selected,9,myopic_q,2,0.2704,1.787605615234375,0.5721,1.1812298583984375,50000,10000,10000,20,10
fashion_mnist_selected,9,learned_briga,2,0.3465,1.6868137939453125,0.5721,1.1812298583984375,50000,10000,10000,20,10
fashion_mnist_selected,9,random,4,0.41909,1.5775695483398438,0.5721,1.1812298583984375,50000,10000,10000,20,10
fashion_mnist_selected,9,global_mi,4,0.4185,1.49651279296875,0.5721,1.1812298583984375,50000,10000,10000,20,10
fashion_mnist_selected,9,myopic_q,4,0.3993,1.47249423828125,0.5721,1.1812298583984375,50000,10000,10000,20,10
fashion_mnist_selected,9,learned_briga,4,0.4835,1.3853806640625,0.5721,1.1812298583984375,50000,10000,10000,20,10
fashion_mnist_selected,9,random,8,0.57739,1.1816782788085936,0.5721,1.1812298583984375,50000,10000,10000,20,10
fashion_mnist_selected,9,global_mi,8,0.5339,1.2178765625,0.5721,1.1812298583984375,50000,10000,10000,20,10
fashion_mnist_selected,9,myopic_q,8,0.6114,1.0694776123046874,0.5721,1.1812298583984375,50000,10000,10000,20,10
fashion_mnist_selected,9,learned_briga,8,0.5987,1.0626286376953125,0.5721,1.1812298583984375,50000,10000,10000,20,10
fashion_mnist_selected,9,random,12,0.6502700000000001,0.9799035925292968,0.5721,1.1812298583984375,50000,10000,10000,20,10
fashion_mnist_selected,9,global_mi,12,0.6449,0.9641429809570312,0.5721,1.1812298583984375,50000,10000,10000,20,10
fashion_mnist_selected,9,myopic_q,12,0.6731,0.9038720703125,0.5721,1.1812298583984375,50000,10000,10000,20,10
fashion_mnist_selected,9,learned_briga,12,0.6625,0.9349791381835938,0.5721,1.1812298583984375,50000,10000,10000,20,10
fashion_mnist_selected,9,random,16,0.68898,0.8837278967285156,0.5721,1.1812298583984375,50000,10000,10000,20,10
fashion_mnist_selected,9,global_mi,16,0.6836,0.876983544921875,0.5721,1.1812298583984375,50000,10000,10000,20,10
fashion_mnist_selected,9,myopic_q,16,0.7085,0.835565576171875,0.5721,1.1812298583984375,50000,10000,10000,20,10
fashion_mnist_selected,9,learned_briga,16,0.6923,0.8423474609375,0.5721,1.1812298583984375,50000,10000,10000,20,10
fashion_mnist_selected,9,random,20,0.7172999999999999,0.8290994018554689,0.5721,1.1812298583984375,50000,10000,10000,20,10
fashion_mnist_selected,9,global_mi,20,0.7173,0.8290994018554687,0.5721,1.1812298583984375,50000,10000,10000,20,10
fashion_mnist_selected,9,myopic_q,20,0.7173,0.8290994018554687,0.5721,1.1812298583984375,50000,10000,10000,20,10
fashion_mnist_selected,9,learned_briga,20,0.7173,0.8290994018554687,0.5721,1.1812298583984375,50000,10000,10000,20,10
